Vertices;Comparacoes;Tempo(seg);;;;;;;;;
271;146340;0.00;;;;;;;;;
272;147424;0.00;;;;;;;;;
273;148512;0.00;;;;;;;;;
274;149604;0.00;;;;;;;;;
275;150700;0.00;;;;;;;;;
276;151800;0.00;;;;;;;;;
277;152904;0.00;;;;;;;;;
278;154012;0.00;;;;;;;;;
279;155124;0.00;;;;;;;;;
280;156240;0.00;;;;;;;;;
281;157360;0.00;;;;;;;;;
282;158484;0.00;;;;;;;;;
283;159612;0.00;;;;;;;;;
284;160744;0.00;;;;;;;;;
285;161880;0.00;;;;;;;;;
286;163020;0.00;;;;;;;;;
287;164164;0.00;;;;;;;;;
288;165312;0.00;;;;;;;;;
289;166464;0.00;;;;;;;;;
290;167620;0.00;;;;;;;;;
291;168780;0.00;;;;;;;;;
292;169944;0.00;;;;;;;;;
293;171112;0.00;;;;;;;;;
294;172284;0.00;;;;;;;;;
295;173460;0.00;;;;;;;;;
296;174640;0.00;;;;;;;;;
297;175824;0.00;;;;;;;;;
298;177012;0.00;;;;;;;;;
299;178204;0.00;;;;;;;;;
300;179400;0.00;;;;;;;;;
301;180600;0.00;;;;;;;;;
302;181804;0.00;;;;;;;;;
303;183012;0.00;;;;;;;;;
304;184224;0.00;;;;;;;;;
305;185440;0.00;;;;;;;;;
306;186660;0.00;;;;;;;;;
307;187884;0.00;;;;;;;;;
308;189112;0.00;;;;;;;;;
309;190344;0.00;;;;;;;;;
310;191580;0.00;;;;;;;;;
311;192820;0.00;;;;;;;;;
312;194064;0.00;;;;;;;;;
313;195312;0.00;;;;;;;;;
314;196564;0.00;;;;;;;;;
315;197820;0.00;;;;;;;;;
316;199080;0.00;;;;;;;;;
317;200344;0.00;;;;;;;;;
318;201612;0.00;;;;;;;;;
319;202884;0.00;;;;;;;;;
320;204160;0.00;;;;;;;;;
321;205440;0.00;;;;;;;;;
322;206724;0.00;;;;;;;;;
323;208012;0.00;;;;;;;;;
324;209304;0.00;;;;;;;;;
325;210600;0.00;;;;;;;;;
326;211900;0.00;;;;;;;;;
327;213204;0.00;;;;;;;;;
328;214512;0.00;;;;;;;;;
329;215824;0.00;;;;;;;;;
330;217140;0.00;;;;;;;;;
331;218460;0.00;;;;;;;;;
332;219784;0.00;;;;;;;;;
333;221112;0.00;;;;;;;;;
334;222444;0.00;;;;;;;;;
335;223780;0.00;;;;;;;;;
336;225120;0.00;;;;;;;;;
337;226464;0.00;;;;;;;;;
338;227812;0.00;;;;;;;;;
339;229164;0.00;;;;;;;;;
340;230520;0.00;;;;;;;;;
341;231880;0.00;;;;;;;;;
342;233244;0.00;;;;;;;;;
343;234612;0.00;;;;;;;;;
344;235984;0.00;;;;;;;;;
345;237360;0.00;;;;;;;;;
